feature,group,avgExpr,logFC,statistic,auc,pval,padj,pct_in,pct_out
Tpm2,14,2.9412428,2.677423912,4700781,0.964274637,0,0,97.16981132,19.53685584
Mylk,14,2.587925986,2.410569096,4650357.5,0.953931228,0,0,94.33962264,12.28962818
Lpp,14,2.384171141,1.97415833,4620681,0.947843666,8.49E-235,2.32E-232,96.85534591,31.76125245
Tpm1,14,2.738704998,2.306350105,4615607,0.946802832,2.83E-240,8.29E-238,97.16981132,30.3196347
Myl6,14,3.562434448,1.964913929,4610008.5,0.945654408,1.98E-164,2.84E-162,99.37106918,81.61774299
Cald1,14,2.791745327,2.310179428,4608468.5,0.945338507,1.79E-261,6.07E-259,98.42767296,26.18395303
Itgb1,14,2.566073529,1.91843545,4599082.5,0.94341315,1.20E-204,2.48E-202,99.05660377,39.23026745
Ppp1r14a,14,1.985487168,1.796367554,4593001,0.942165647,0,0,94.65408805,14.22700587
Dstn,14,2.636561931,2.062075392,4588313,0.941203994,5.55E-203,1.13E-200,99.05660377,39.09980431
Hmgb2,15,3.204952065,2.011673363,4326450,0.927511954,5.59E-149,1.12E-146,97.69736842,67.47262774
Coro1a,15,2.294109275,1.358960235,3982580.5,0.853792606,4.31E-110,6.13E-108,92.10526316,52.95881126
Stmn1,15,1.582004928,1.469518595,3981706.5,0.853605237,1.86242985856316e-319,1.09324632697658e-316,75.65789474,10.20594369
Anp32b,15,1.896367048,1.150409633,3942523,0.845205009,1.65E-102,2.18E-100,88.48684211,56.71923879
Gapdh,15,2.272862446,1.036757171,3882287,0.832291509,2.22E-89,2.58E-87,93.09210526,73.87904067
Nap1l1,15,1.989696958,1.051339286,3845405.5,0.824384789,1.55E-87,1.76E-85,89.14473684,64.45516163
Mki67,15,1.237679301,1.189639802,3833647,0.821863981,0,0,67.10526316,4.177528676
Cfl1,15,2.301468081,0.910292926,3811779.5,0.817175988,7.70E-81,8.12E-79,94.73684211,80.07038582
Actb,15,4.061061787,0.816034296,3806750,0.816097755,1.04E-79,1.08E-77,99.34210526,97.96663191
Dut,15,1.179626772,1.053834707,3805114,0.815747026,1.64E-208,5.35E-206,70.39473684,13.41892596
Bmp5,16,2.127961682,2.036387678,4510063,0.976320975,0,0,96.67774086,8.105818727
Pdgfra,16,2.586404499,2.345046495,4491120.5,0.972220376,0,0,98.33887043,15.8271975
Col4a5,16,1.878876543,1.79902407,4431152.5,0.959238736,0,0,93.68770764,7.819117743
Adamdec1,16,3.924665519,3.45191239,4418860.5,0.956577811,1.55E-289,6.40E-287,99.33554817,22.36919268
Col6a1,16,2.768931799,2.323488962,4392515.5,0.950874748,7.72E-275,2.80E-272,97.00996678,23.33355053
Pmepa1,16,2.721630018,2.171219995,4384835,0.949212103,2.56E-205,5.47E-203,98.00664452,37.0821659
Tcf4,16,2.772934137,1.971008456,4384245.5,0.94908449,4.08E-178,7.16E-176,99.00332226,50.04235355
Col6a2,16,2.402913947,2.043468492,4362808.5,0.944443891,6.59E-284,2.50E-281,97.00996678,21.33315958
Mmp2,16,2.34678755,2.033363683,4361551,0.944171672,3.02E-301,1.32E-298,95.68106312,19.58037401
Cald1,16,2.710153095,2.224427927,4361015.5,0.94405575,1.81E-246,5.07E-244,99.00332226,26.25268782
Mmrn1,17,3.775042927,3.760495333,4520395.5,0.994763315,0,0,98.98648649,1.270192809
Lyve1,17,3.505642962,3.492513924,4481014,0.986096978,0,0,97.2972973,1.113861386
Ccl21a,17,4.870898535,4.794759602,4477853.5,0.985401475,0,0,97.2972973,6.513809276
Fgl2,17,3.547849195,3.296249106,4445317,0.978241456,0,0,96.62162162,19.28738927
